epoch,dice_coefficient,learning_rate,loss,val_dice_coefficient,val_loss
0,0.7801274061203003,1.9999999494757503e-05,0.11525838822126389,0.7453132271766663,0.1338607221841812
1,0.782002329826355,1.9999999494757503e-05,0.11414217948913574,0.7439271807670593,0.13454119861125946
2,0.7854140996932983,1.9999999494757503e-05,0.11239392310380936,0.7465400695800781,0.1332499235868454
3,0.7851112484931946,1.9999999494757503e-05,0.11246474832296371,0.7427321076393127,0.1349979043006897
4,0.7835146188735962,1.9999999494757503e-05,0.11322180926799774,0.7475939393043518,0.1327836811542511
5,0.7848790287971497,1.9999999494757503e-05,0.11256474256515503,0.7439281344413757,0.1344163864850998
6,0.7852842807769775,1.9999999494757503e-05,0.11233732104301453,0.7483633756637573,0.13252466917037964
7,0.7899599671363831,1.9999999494757503e-05,0.10996938496828079,0.7481896877288818,0.13261331617832184
8,0.7859480977058411,1.9999999494757503e-05,0.11202608048915863,0.7475863099098206,0.13281476497650146
9,0.7870453596115112,1.9999999494757503e-05,0.11148121953010559,0.7470216751098633,0.13294920325279236
10,0.7879405617713928,9.999999747378752e-06,0.11101844906806946,0.7468618154525757,0.13308177888393402
11,0.7884376049041748,9.999999747378752e-06,0.11070164293050766,0.7463422417640686,0.13326232135295868
12,0.7876261472702026,9.999999747378752e-06,0.1110820472240448,0.7456026077270508,0.1335395872592926
