epoch,dice_coefficient,learning_rate,loss,val_dice_coefficient,val_loss
0,0.7358068823814392,9.999999747378752e-05,0.1392422467470169,0.7149070501327515,0.15013426542282104
1,0.7405472993850708,9.999999747378752e-05,0.13638214766979218,0.730333149433136,0.14226044714450836
2,0.7420905828475952,9.999999747378752e-05,0.13549551367759705,0.7301292419433594,0.1423010379076004
3,0.7478747367858887,9.999999747378752e-05,0.1322861909866333,0.73606938123703,0.1390528529882431
4,0.7494227886199951,9.999999747378752e-05,0.13143497705459595,0.7349976897239685,0.13889537751674652
5,0.7529155015945435,9.999999747378752e-05,0.12949073314666748,0.7382109761238098,0.1382896602153778
6,0.7528959512710571,9.999999747378752e-05,0.12943659722805023,0.738885760307312,0.13790489733219147
7,0.759114682674408,9.999999747378752e-05,0.12611179053783417,0.7414893507957458,0.13652056455612183
8,0.7652314901351929,9.999999747378752e-05,0.12294328212738037,0.7173247933387756,0.14800454676151276
9,0.7640065550804138,9.999999747378752e-05,0.12355490028858185,0.7393060326576233,0.13741345703601837
10,0.7657456398010254,9.999999747378752e-05,0.12267821282148361,0.744123101234436,0.13486818969249725
11,0.7721109986305237,9.999999747378752e-05,0.11930695921182632,0.7313562035560608,0.14136870205402374
12,0.7707914113998413,9.999999747378752e-05,0.11990398168563843,0.7441244125366211,0.13464629650115967
13,0.771830141544342,9.999999747378752e-05,0.11941705644130707,0.7359336018562317,0.13877758383750916
14,0.7735406160354614,9.999999747378752e-05,0.11859314888715744,0.7370150685310364,0.13941696286201477
