epoch,dice_coefficient,learning_rate,loss,val_dice_coefficient,val_loss
0,0.21851575374603271,0.0003000000142492354,0.44367700815200806,0.27143019437789917,0.425665020942688
1,0.3342928886413574,0.0003000000142492354,0.38248884677886963,0.4181070029735565,0.34027060866355896
2,0.39768022298812866,0.0003000000142492354,0.35243186354637146,0.42801612615585327,0.3340875208377838
3,0.4710571765899658,0.0003000000142492354,0.31613215804100037,0.5228444337844849,0.28948238492012024
4,0.5121901035308838,0.0003000000142492354,0.29663413763046265,0.5191924571990967,0.2913866639137268
5,0.5498239994049072,0.0003000000142492354,0.2778427302837372,0.5352151393890381,0.2843341827392578
6,0.5645318627357483,0.0003000000142492354,0.27102771401405334,0.5555897355079651,0.2769136130809784
7,0.5948445796966553,0.0003000000142492354,0.25618237257003784,0.6052468419075012,0.24964039027690887
8,0.6231154203414917,0.0003000000142492354,0.2416369616985321,0.604560136795044,0.25168269872665405
9,0.6464312076568604,0.0003000000142492354,0.22975383698940277,0.632716178894043,0.2347736805677414
10,0.6619297862052917,0.0003000000142492354,0.22012628614902496,0.6579167246818542,0.22094190120697021
11,0.6731954216957092,0.0003000000142492354,0.21426711976528168,0.6748778820037842,0.21200865507125854
12,0.6737002730369568,0.0003000000142492354,0.21351949870586395,0.6667683124542236,0.21629658341407776
13,0.6750233173370361,0.0003000000142492354,0.2123790681362152,0.686607301235199,0.20473511517047882
14,0.6927566528320312,0.0003000000142492354,0.20319078862667084,0.6957455277442932,0.19953906536102295
15,0.6884599328041077,0.0003000000142492354,0.20523281395435333,0.6853764057159424,0.20553666353225708
16,0.6829690933227539,0.0003000000142492354,0.20814748108386993,0.559162437915802,0.27335140109062195
17,0.6922242641448975,0.0003000000142492354,0.20409320294857025,0.691475510597229,0.20279617607593536
18,0.7202757000923157,0.0003000000142492354,0.18914680182933807,0.7117665410041809,0.19181358814239502
19,0.7078506946563721,0.0003000000142492354,0.19506852328777313,0.6994941234588623,0.19835935533046722
20,0.718034565448761,0.0003000000142492354,0.18952664732933044,0.7024109959602356,0.19630084931850433
21,0.7146917581558228,0.0003000000142492354,0.19053150713443756,0.706841766834259,0.19326366484165192
22,0.7080277800559998,0.0003000000142492354,0.19384178519248962,0.6522327661514282,0.22193844616413116
23,0.7356730103492737,0.0001500000071246177,0.17893515527248383,0.726046621799469,0.18178653717041016
24,0.7379110455513,0.0001500000071246177,0.1765269935131073,0.7378265857696533,0.17399190366268158
25,0.7445805072784424,0.0001500000071246177,0.17152635753154755,0.734437882900238,0.1749519258737564
26,0.7422953844070435,0.0001500000071246177,0.1713060587644577,0.7029075026512146,0.19105221331119537
27,0.7498342990875244,0.0001500000071246177,0.1665593385696411,0.7317112684249878,0.17482952773571014
28,0.7587260603904724,0.0001500000071246177,0.16118235886096954,0.7428626418113708,0.16784116625785828
29,0.7448062300682068,0.0001500000071246177,0.1678018420934677,0.7385680079460144,0.17003071308135986
