epoch,dice_coefficient,loss,val_dice_coefficient,val_loss
0,0.7283496856689453,0.17627090215682983,0.7198512554168701,0.1792561411857605
1,0.8454858660697937,0.11096158623695374,0.7222495079040527,0.17793336510658264
2,0.7407354712486267,0.16943712532520294,0.7231388092041016,0.17697353661060333
3,0.9359817504882812,0.06477087736129761,0.7226179242134094,0.17726020514965057
4,0.7414372563362122,0.16821397840976715,0.72881019115448,0.17330072820186615
5,0.3956628143787384,0.3577609956264496,0.724765419960022,0.17538349330425262
6,0.7424840331077576,0.16712813079357147,0.7351804971694946,0.16930939257144928
7,0.7314964532852173,0.1910233199596405,0.7356787323951721,0.16905301809310913
8,0.7371075749397278,0.1695888787508011,0.7367460131645203,0.16846847534179688
9,0.8965267539024353,0.0833757072687149,0.7366589307785034,0.16851384937763214
10,0.7513369917869568,0.16178852319717407,0.7470755577087402,0.16213741898536682
11,0.8835703134536743,0.08924023807048798,0.7465814352035522,0.16239599883556366
12,0.7487349510192871,0.16264164447784424,0.7372186779975891,0.16653163731098175
13,0.7449619770050049,0.16055510938167572,0.7373239398002625,0.16648246347904205
14,0.7550586462020874,0.15876701474189758,0.7311436533927917,0.16939768195152283
15,0.8580246567726135,0.10209858417510986,0.7327395677566528,0.16855770349502563
16,0.7584054470062256,0.15653513371944427,0.7447289824485779,0.1623053103685379
17,0.8793078064918518,0.0984940305352211,0.744860827922821,0.16223765909671783
18,0.7537502646446228,0.15833963453769684,0.7360058426856995,0.16645078361034393
19,0.8073756098747253,0.12588536739349365,0.7362483143806458,0.1663254350423813
20,0.7554929852485657,0.1571447253227234,0.7444431781768799,0.16176484525203705
